Fruit,Color,Calories,Origin,Season
Apple,Red,95,Central Asia,Fall
Banana,Yellow,105,Southeast Asia,Year-round
Orange,Orange,62,China,Winter
Strawberry,Red,50,France,Spring
Watermelon,Green,85,Africa,Summer
Grapes,Purple,62,Mediterranean,Fall
Mango,Yellow,202,South Asia,Summer
Pineapple,Yellow,82,South America,Spring
Blueberry,Blue,84,North America,Summer
Cherry,Red,87,Europe,Summer
Papaya,Orange,55,Central America,Summer
Kiwi,Green,42,China,Fall
Peach,Orange,58,China,Summer
Pomegranate,Red,83,Iran,Fall
Coconut,Brown,160,Southeast Asia,Year-round